Id,SalePrice
2658,158744.28206357732
2718,154107.51806834247
2414,225725.98543989845
1989,107266.73418637272
625,166917.1088511921
333,83716.04321984976
1327,98189.3080691743
858,142452.3610240973
95,180487.0294440305
1568,179118.9566332507
2482,152503.02401372156
1364,114019.12417982775
2584,138985.17937712691
818,242052.129941135
2673,168547.42679207202
2089,123513.32934864907
1297,165303.44168581412
790,116664.30287795764
2616,183254.5993939367
720,202511.17992822634
222,159833.83164544223
557,121481.77260285546
1148,199847.4827236255
2766,174597.64142606087
534,187670.923804797
1452,121085.30384899862
630,109863.88080107735
2648,115918.60941715189
125,150372.00293051754
1904,36118.03017418174
1670,98778.9124301906
756,93127.71655205695
717,233550.85504215315
1032,160516.90385406808
852,211134.8912599351
1731,182529.74791160773
2639,116793.50622509315
2071,92809.01976744499
1267,119219.78331935243
1851,207723.03896437056
567,171436.53494911856
2439,208585.02666239033
1898,139980.72279977344
647,177193.97872787627
2256,225822.8476287825
979,90617.34573220147
1444,220803.98841948953
2485,118154.08957586053
157,123626.60251031927
88,121262.76375718677
2003,111538.20135842753
186,195422.01146850095
1425,238713.01345076918
2695,123588.83849927399
738,112685.74307821708
395,163372.83842842712
1353,166288.3368364852
1878,145860.70329522656
390,161953.00015245762
1456,233002.34406743455
1103,337621.29947436374
1387,135469.3346429951
2070,162581.49428946758
1199,175921.36710737436
2479,171094.31271027803
501,339805.8708910247
2362,87893.43797784945
1718,213873.4394549263
2188,79768.02220084699
1483,156387.67875197058
2557,72563.79119063908
437,353365.47439092613
2224,257194.24529528525
1628,164771.6198309039
397,126024.43001719168
587,201126.8104975287
971,159296.46747877676
2611,148427.22964353388
1887,103320.22827654704
2399,357548.7856794635
2148,196372.53722535277
304,127132.32249258523
1997,127086.2910516028
2817,93914.17552936252
1431,195872.38058396528
427,316746.6218484861
263,123557.95229423139
598,193594.42086820124
2895,254379.69302378903
687,139228.7331762481
1822,128371.42362180515
2191,100237.43083274749
179,114495.19651760883
1009,197295.29854845064
2010,130827.12406434183
1991,148838.93007335416
1411,187889.86495067592
1721,223812.47507534188
1144,188165.39294004528
593,217421.18890567176
575,321332.5225190677
1249,175653.3799241144
1604,112346.1592922298
1064,430784.80506424844
1923,154688.48827748356
1988,107288.66470277286
2325,172939.33491661068
114,219915.80273472046
2700,165489.2507492249
217,128112.01190661837
343,189391.68547818472
386,220236.79322683747
2005,123174.1090964271
2908,156311.83909738314
1814,255020.48941911297
2446,493485.6723086134
208,124277.98081630142
1679,92040.51587673032
822,305505.09040727
6,202188.43807579845
1781,376925.41778499755
2397,298060.5679599651
2340,276776.8607215665
1618,183261.76944413641
2843,136858.89219841082
1061,351047.9934699313
2786,134993.52811706212
1935,128661.90163029294
1341,117102.2827756019
521,268533.91148943204
2136,125107.47011632449
996,202831.36555865413
227,143586.0816893268
135,178762.7069779699
1167,158256.35893818305
